"FROTA";"ANO";"MES";"LAT";"LON";"EFF";"LAGE";"BRANCA";"BANDOLIM"
"BRA";1998;12;15;25;24200;2000;4400;900
"BRA";1998;12;15;30;205760;2100;94000;300
"BRA";1998;12;15;35;37505;100;16000;0
"BRA";1998;12;20;20;14300;800;2000;0
"BRA";1998;12;20;25;8000;300;1900;0
"BRA";1998;12;20;30;14200;200;7500;0
"BRA";1999;1;0;25;800;82,9533;0;0
"BRA";1999;1;0;30;11405;8295,33;5064,83;324,1744
"BRA";1999;1;0;35;5600;2571,5523;0;0
"BRA";1999;1;20;35;2000;0;34,77;0
"BRA";1999;1;20;40;15400;82,9533;57,95;7,3676
"BRA";1999;1;25;40;4800;0;11,59;7,3676
"BRA";1999;1;25;45;8200;746,5797;11,59;0
"BRA";1999;2;0;25;2400;663,6264;0;0
"BRA";1999;2;0;30;49045;27291,6357;602,68;2298,6912
"BRA";1999;2;0;35;12200;3069,2721;11,59;243,1308
"BRA";1999;2;10;35;3000;0;0;14,7352
"BRA";1999;2;15;35;12100;1244,2995;57,95;0
"BRA";1999;2;20;30;13200;497,7198;776,53;29,4704
"BRA";1999;2;20;35;7000;1327,2528;69,54;0
"BRA";1999;2;20;40;29400;165,9066;34,77;58,9408
"BRA";1999;2;25;40;15700;497,7198;162,26;58,9408
"BRA";1999;2;25;45;26156;1078,3929;139,08;243,1308
"BRA";1999;3;0;25;1050;1161,3462;231,8;0
"BRA";1999;3;0;30;68455;66030,8268;3210,43;3698,5352
"BRA";1999;3;0;35;7232;6885,1239;11,59;412,5856
"BRA";1999;3;5;30;800;82,9533;0;0
"BRA";1999;3;20;25;14550;995,4396;197,03;7,3676
"BRA";1999;3;20;30;21300;11696,4153;753,35;58,9408
"BRA";1999;3;20;35;6000;1244,2995;254,98;0
"BRA";1999;3;20;40;18100;248,8599;57,95;29,4704
"BRA";1999;3;20;45;8070;248,8599;46,36;139,9844
"BRA";1999;3;25;35;4000;0;11,59;0
"BRA";1999;3;25;40;10690;0;115,9;51,5732
"BRA";1999;3;25;45;53501;2405,6457;220,21;567,3052
"BRA";1999;3;30;35;2000;0;11,59;0
"BRA";1999;4;0;25;14600;10949,8356;81,13;390,4828
